active,track,name,desc,maxSpeed (m/s),maxAcceleration,maxDeceleration,capacityPerCar,carLength,minCars,maxCars,carsPerCarSet,trainWidth,maxStationLength,carCost,trainOperationalCostPerHour,carOperationalCostPerHour,color,,,,,,,,,id,class,typeName,canCrossRoads,maxSpeedLocalStation,baseTrackCost,baseStationCost,scissorsCrossoverCost,Electrification,Voltage,Track Gauge,Loading Gauge,train CostPerHour,car CostPerHour,desc,,,
TRUE,ALP45-BMLC,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, NEC 25-60, Metra/SSL",The Bombardier ALP-45 is a dual-mode locomotive that first entered service in 2010. This specific trainset carries passengers with Bombardier MultiLevel Coaches in their trailer configuration.,44.7,0.72,1.05,150,25.91,4,10,1,3.05,320,2500000,800,80,#F9A533,600,1500,"US, CA","NYC, MTL",Bombardier,Diesel Commuter,Commuter,"North America, North America",us-1,Diesel Commuter,U.S. Commuter Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,U.S. Passenger Standard,800,80,This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters.,diesel-commuter-none,This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters. The Bombardier ALP-45 is a dual-mode locomotive that first entered service in 2010. This specific trainset carries passengers with Bombardier MultiLevel Coaches in their trailer configuration.,261.58
TRUE,ALP46-BMLC,"NEC 12-25, NEC 12.5-60, NEC 25-60",The Bombardier ALP-45 is an electric locomotive that first entered service in 2001. This specific trainset carries passengers with Bombardier MultiLevel Coaches in their trailer configuration.,44.7,0.72,1.05,150,25.91,4,10,1,3.05,320,2500000,600,60,#EE3E42,600,1500,US,NYC,Bombardier,Standard Commuter,Commuter,North America,us-2,Standard Commuter,NEC 12-25,TRUE,15,45000,75000000,14000000,catenary,Pennsylvania AC,Standard,U.S. Passenger Standard,600,60,"The Northeast Corridor is the major high speed corridor in the United States that goes from Boston to Washington. It has 3 electrification standards, and this is the 12 kV 25 Hz system found approximately from DC to NYC.",standard-commuter-catenary,"The Northeast Corridor is the major high speed corridor in the United States that goes from Boston to Washington. It has 3 electrification standards, and this is the 12 kV 25 Hz system found approximately from DC to NYC. The Bombardier ALP-45 is an electric locomotive that first entered service in 2001. This specific trainset carries passengers with Bombardier MultiLevel Coaches in their trailer configuration.",261.58
TRUE,M8 (NYC),"NYC: M-N Grand Central, NEC 12.5-60, NEC 25-60",The M8 is a commuter rail EMU built by Kawasaki for the Metro-North Railroad that entered service in 2011.,40.2,0.89,1.34,120,25.91,2,8,2,3.18,210,2500000,600,60,#0059FF,240,960,US,NYC,Kawasaki,Standard Commuter,Commuter,North America,nyc-f,Standard Commuter,NYC: M-N Grand Central,TRUE,15,45000,75000000,14000000,tr-under,Modern DC,Standard,LIRR / Metro North,600,60,"Metro-North is a commuter rail network operated by the MTA which primarily serves Westchester and western Connecticut. It has multiple electrification standards, and this is the section which is used by the connection to Grand Central Terminal.",standard-commuter-tr-under,"Metro-North is a commuter rail network operated by the MTA which primarily serves Westchester and western Connecticut. It has multiple electrification standards, and this is the section which is used by the connection to Grand Central Terminal. The M8 is a commuter rail EMU built by Kawasaki for the Metro-North Railroad that entered service in 2011.",209.764
TRUE,M7 (NYC),"NYC LIRR Electric, NYC: M-N Grand Central, NEC 12.5-60, NEC 25-60",The M7 is a commuter rail EMU built by Bombardier for the MTA's LIRR and MNCR that entered service in 2011.,35.8,0.89,1.34,115,25.91,2,14,2,3.20,370,2500000,600,60,#0044C4,230,1610,US,NYC,Bombardier,Standard Commuter,Commuter,North America,nyc-d,Standard Commuter,NYC LIRR Electric,TRUE,15,45000,75000000,14000000,tr-over,Modern DC,Standard,LIRR / Metro North,600,60,"The Long Island Railroad is a commuter rail network operated by the MTA which primarily serves Nassau and Suffolk Counties. This is the electrified portion of the tracks, which consistitutes most of the parts of the network that matter.",standard-commuter-tr-over,"The Long Island Railroad is a commuter rail network operated by the MTA which primarily serves Nassau and Suffolk Counties. This is the electrified portion of the tracks, which consistitutes most of the parts of the network that matter. The M7 is a commuter rail EMU built by Bombardier for the MTA's LIRR and MNCR that entered service in 2011.",365.212
TRUE,SC-SL4,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, NEC 25-60, Metra/SSL","The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier Shoreliner IVs, as used by MNCR.",44.7,0.69,1.30,145,25.91,2,8,1,3.05,300,2500000,800,80,#002160,290,1160,US,NYC,Siemens,Diesel Commuter,Commuter,North America,us-1,Diesel Commuter,U.S. Commuter Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,U.S. Passenger Standard,800,80,This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters.,diesel-commuter-none,"This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters. The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier Shoreliner IVs, as used by MNCR.",209.764
TRUE,MPX-VRE,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, NEC 25-60, Metra/SSL",The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with the Virginia Rail Express's nameless cars from Sumitomo/Nippon Sharyo.,31.3,0.61,1.00,200,25.91,2,8,1,2.99,240,2500000,800,80,#EE3E42,400,1600,US,DC,"MPI,Nippon Sharyo,Sumitomo",Diesel Commuter,Commuter,North America,us-1,Diesel Commuter,U.S. Commuter Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,U.S. Passenger Standard,800,80,This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters.,diesel-commuter-none,This is diesel commuter rail which follows the U.S. standard loading gauge width of 3.05 meters. The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with the Virginia Rail Express's nameless cars from Sumitomo/Nippon Sharyo.,209.78
TRUE,BR Class 357,London Overground Catenary,The Electrostar (BR 357) is a commuter rail EMU built by Adtranz/Bombardier for c2c that entered service in 2000. It is the first of the Electrostar family.,44.4,0.65,1.00,100,20.20,4,8,4,2.8,240,2500000,600,60,#B71C8C,400,800,UK,LDN,ADtranz,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Electrostar (BR 357) is a commuter rail EMU built by Adtranz/Bombardier for c2c that entered service in 2000. It is the first of the Electrostar family.",164.06
TRUE,BR Class 720,London Overground Catenary,"The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 720 as used on the London, Tilbury and Southend line.",44.4,0.90,1.00,132,24.20,5,10,5,2.77,250,2500000,600,60,#ED028C,660,1320,UK,LDN,Alstom,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 720 as used on the London, Tilbury and Southend line.",244.5
TRUE,BR Class 165,"London Overground Diesel, London Overground Catenary, London Overground Third Rail",The Networker Turbo (BR 165) is a commuter rail DMU built by BREL for British Railways that entered service in 1991. It is now operated by GWE and Chiltern Railways.,33.3,0.80,1.00,100,23.50,2,6,1,2.81,150,2500000,800,80,#1C2D47,200,600,UK,LDN,BREL,Diesel Commuter,Commuter,Europe,ldn-3d,Diesel Commuter,London Overground Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,Metro Wide,800,80,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains.",diesel-commuter-none,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains. The Networker Turbo (BR 165) is a commuter rail DMU built by BREL for British Railways that entered service in 1991. It is now operated by GWE and Chiltern Railways.",143.5
TRUE,BR Class 360,London Overground Catenary,The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 360 as used by EMR for their Luton Airport Express line.,49.2,0.98,1.10,109,20.85,4,4,4,2.80,90,2500000,600,60,#CFAB2A,436,436,UK,LDN,Siemens,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 360 as used by EMR for their Luton Airport Express line.",85.9
TRUE,BR Class 360-2,London Overground Catenary,The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 360-2.,44.4,0.98,1.10,109,20.85,5,5,5,2.80,110,2500000,600,60,#CFAB2A,545,545,Generic,Generic,Siemens,Standard Commuter,Commuter,Generic,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 360-2.",106.75
TRUE,BR Class 345,London Overground Catenary,The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 345 as used on the Elizabeth Line.,40.3,1.00,1.10,166,22.75,9,9,9,2.77,210,2500000,600,60,#11A6C8,1494,1494,UK,LDN,Alstom,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 345 as used on the Elizabeth Line.",207.23
TRUE,BR Class 171/172,"London Overground Diesel, London Overground Catenary, London Overground Third Rail",The Turbostar (BR 171/172) is a commuter rail DMU built by Bombardier for GTR that entered service in 2003.,44.4,0.50,0.60,114,23.62,2,6,1,2.69,150,2500000,800,80,#00A54F,228,684,"UK, UK","LDN, BHM",Bombardier,Diesel Commuter,Commuter,"Europe, Europe",ldn-3d,Diesel Commuter,London Overground Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,Metro Wide,800,80,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains.",diesel-commuter-none,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains. The Turbostar (BR 171/172) is a commuter rail DMU built by Bombardier for GTR that entered service in 2003.",144.22
TRUE,BR Class 377,"London Overground Catenary, London Overground Third Rail",The Electrostar (BR 377) is a commuter rail EMU built by Bombardier for Southern and Southeastern that entered service in 2003. It is part of the Electrostar family.,44.4,0.65,1.00,91,20.20,3,5,1,2.8,240,2500000,600,60,#00FF77,273,455,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Electrostar (BR 377) is a commuter rail EMU built by Bombardier for Southern and Southeastern that entered service in 2003. It is part of the Electrostar family.",103.475
TRUE,BR Class 387,"London Overground Catenary, London Overground Third Rail",The Electrostar (BR 387) is a commuter rail EMU built by Bombardier that entered service in 2014. It is part of the Electrostar family.,47.2,0.65,1.00,100,20.39,4,8,4,2.8,240,2750000,600,60,#231F20,400,800,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Electrostar (BR 387) is a commuter rail EMU built by Bombardier that entered service in 2014. It is part of the Electrostar family.",165.62
TRUE,BR Class 379,London Overground Catenary,The Electrostar (BR 387) is a commuter rail EMU built by Bombardier that entered service in 2014. It is part of the Electrostar family.,47.2,0.65,1.00,100,20.39,4,8,4,2.8,240,2500000,600,60,#CE9C61,400,800,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Electrostar (BR 387) is a commuter rail EMU built by Bombardier that entered service in 2014. It is part of the Electrostar family.",165.62
TRUE,BR Class 700,"London Overground Catenary, London Overground Third Rail",The Siemens Desiro City is a family of EMUs in service in the UK since 2016. This model is the EMU labeled Class 700 as used on Thameslink,44.4,0.85,1.10,145,20.22,8,12,4,2.80,250,2500000,600,60,#B0016A,1160,1740,UK,LDN,Siemens,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Siemens Desiro City is a family of EMUs in service in the UK since 2016. This model is the EMU labeled Class 700 as used on Thameslink",245.1
TRUE,BR Class 745,London Overground Catenary,The Stadler FLIRT is a family of MUs in service around the world since 2004. This is the EMU classed as BR 745 that is operated by Greater Anglia.,44.4,0.90,0.90,65,19.72,12,12,12,2.72,250,2500000,600,60,#8A8FA4,780,780,UK,LDN,Stadler,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Stadler FLIRT is a family of MUs in service around the world since 2004. This is the EMU classed as BR 745 that is operated by Greater Anglia.",239.1
TRUE,BR Class 755,"London Overground Diesel, London Overground Catenary",The Stadler FLIRT is a family of MUs in service around the world since 2004. This is the Bi-Mode MU classed as BR 755 'Basil' that is operated by Greater Anglia.,44.4,0.90,0.70,70,29.14,3,4,1,2.72,120,2500000,800,80,#D8E0FF,210,280,UK,LDN,Stadler,Diesel Commuter,Commuter,Europe,ldn-3d,Diesel Commuter,London Overground Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,Metro Wide,800,80,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains.",diesel-commuter-none,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains. The Stadler FLIRT is a family of MUs in service around the world since 2004. This is the Bi-Mode MU classed as BR 755 'Basil' that is operated by Greater Anglia.",119.06
TRUE,BR Class 150,"London Overground Diesel, London Overground Catenary, London Overground Third Rail",The London Overground Diesel (BR 150) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements.,26.9,0.50,0.60,100,19.93,2,2,2,2.82,50,2000000,800,80,#68912F,200,200,UK,LDN,BREL,Diesel Commuter,Commuter,Europe,ldn-3d,Diesel Commuter,London Overground Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,Metro Wide,800,80,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains.",diesel-commuter-none,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains. The London Overground Diesel (BR 150) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements.",42.36
TRUE,BR Class 350,"London Overground Catenary, London Overground Third Rail",The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 350 as used by London Northwestern.,44.4,0.96,0.96,60,20.34,4,4,4,2.80,100,2500000,600,60,#8BC63E,240,240,UK,LDN,Siemens,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 350 as used by London Northwestern.",83.86
TRUE,BR Class 730,London Overground Catenary,The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 730 as used by London Northwestern Railway.,40.2,0.90,1.00,70,24.20,3,9,3,2.77,250,2500000,600,60,#B3FF51,210,630,"UK, UK","LDN, BHM",Alstom,Standard Commuter,Commuter,"Europe, Europe",ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 730 as used by London Northwestern Railway.",220.3
TRUE,BR Class 158/159,"London Overground Diesel, London Overground Catenary, London Overground Third Rail",The London Overground Diesel Express (BR 158/159) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements.,26.9,0.50,0.60,67,19.93,3,6,1,2.70,150,2000000,800,80,#EE1D23,201,402,UK,LDN,BREL,Diesel Commuter,Commuter,Europe,ldn-3d,Diesel Commuter,London Overground Diesel,TRUE,15,35000,60000000,13000000,none,None,Standard,Metro Wide,800,80,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains.",diesel-commuter-none,"The London Overground is the commuter rail network of the city. A few parts remain unelectrified, and are served by diesel or dual mode trains. The London Overground Diesel Express (BR 158/159) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements.",122.08
TRUE,BR Class 444,London Overground Third Rail,The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 444 as used by South Western.,44.4,0.80,0.80,75,23.00,5,10,5,2.80,250,2500000,600,60,#A5151A,375,750,UK,LDN,Siemens,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 444 as used by South Western.",232.5
TRUE,BR Class 450,London Overground Third Rail,The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 444 as used by South Western.,44.4,0.98,0.98,75,19.70,4,8,4,2.80,200,2500000,600,60,#700E13,300,600,UK,LDN,Siemens,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Siemens Desiro UK is a family of DMUs and EMUs in service in the UK and Thailand since 2003. This model is the EMU labeled Class 444 as used by South Western.",160.1
TRUE,BR Class 455,London Overground Third Rail,The Mark 3-based BR 455 is a commuter rail EMU built by BREL that entered service in 1983. Capacity is artificially higher due to game processing requirements.,33.5,0.58,0.58,107,19.90,4,8,4,2.82,165,2500000,600,60,#49090D,428,856,UK,LDN,BREL,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Mark 3-based BR 455 is a commuter rail EMU built by BREL that entered service in 1983. Capacity is artificially higher due to game processing requirements.",161.7
TRUE,BR Class 458,London Overground Third Rail,The Alstom Coradia Juniper is a family of EMUs in service in the UK since 2000. This model is the EMU labeled Class 458 as used by South Western.,33.5,0.98,0.98,70,20.50,4,8,4,2.80,170,2500000,600,60,#7F1017,280,560,UK,LDN,Alstom,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Alstom Coradia Juniper is a family of EMUs in service in the UK since 2000. This model is the EMU labeled Class 458 as used by South Western.",166.5
TRUE,BR Class 701,London Overground Catenary,The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 701 as used by South Western.,40.2,0.96,0.90,130,20.80,5,10,5,2.77,220,2500000,600,60,#FF2128,650,1300,UK,LDN,Alstom,Standard Commuter,Commuter,Europe,ldn-3c,Standard Commuter,London Overground Catenary,TRUE,15,45000,75000000,14000000,catenary,International AC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines.",standard-commuter-catenary,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the catenary standard used on UK main lines. The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 701 as used by South Western.",210.5
TRUE,BR Class 375,London Overground Third Rail,The Electrostar (BR 375) is a commuter rail EMU built by Bombardier for Southeastern that entered service in 2003. It is part of the Electrostar family.,44.4,0.62,1.00,91,20.20,4,8,4,2.8,175,2500000,600,60,#0072BC,364,728,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Electrostar (BR 375) is a commuter rail EMU built by Bombardier for Southeastern that entered service in 2003. It is part of the Electrostar family.",164.06
TRUE,BR Class 376,London Overground Third Rail,The Electrostar (BR 376) is a commuter rail EMU built by Bombardier for Southeastern that entered service in 2003. It is part of the Electrostar family.,33.3,0.66,1.00,56,20.20,4,8,4,2.8,175,2500000,600,60,#009DFF,224,448,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Electrostar (BR 376) is a commuter rail EMU built by Bombardier for Southeastern that entered service in 2003. It is part of the Electrostar family.",164.06
TRUE,BR Class 465,London Overground Third Rail,The Networker (BR 465) is a commuter rail EMU built by BREL for Southeastern that entered service in 1992. It is part of the Networker family.,33.3,0.98,0.98,84,20.10,4,8,4,2.81,165,2500000,600,60,#005E99,336,672,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Networker (BR 465) is a commuter rail EMU built by BREL for Southeastern that entered service in 1992. It is part of the Networker family.",163.3
TRUE,BR Class 466,London Overground Third Rail,The Networker (BR 465) is a commuter rail EMU built by BREL for Southeastern that entered service in 1992. It is part of the Networker family.,33.3,0.98,0.98,84,20.80,4,8,2,2.80,210,2500000,600,60,#004570,336,672,UK,LDN,Bombardier,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Networker (BR 465) is a commuter rail EMU built by BREL for Southeastern that entered service in 1992. It is part of the Networker family.",168.9
TRUE,BR Class 707,London Overground Third Rail,The Siemens Desiro City is a family of EMUs in service in the UK since 2016. This model is the EMU labeled Class 707 as used by Southeastern.,44.4,0.85,1.10,145,20.30,5,10,5,2.80,210,2500000,600,60,#003251,725,1450,UK,LDN,Siemens,Standard Commuter,Commuter,Europe,ldn-3t,Standard Commuter,London Overground Third Rail,TRUE,15,45000,75000000,14000000,tr-over,Classical DC,Standard,Metro Wide,600,60,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines.",standard-commuter-tr-over,"The London Overground is the commuter rail network of the city and has two electrifcation standards, with this being the third rail standard used on UK main lines. The Siemens Desiro City is a family of EMUs in service in the UK since 2016. This model is the EMU labeled Class 707 as used by Southeastern.",205.534
TRUE,DLR B07,3rd Rail LRT: Modern DC,"The B07 is automated light metro rolling stock for London's Docklands Light Railway, built by Bombardier.",22.2,1.40,0.80,284,28.80,2,6,6,2.65,180,2000000,200,20,#00AFAA,568,1704,UK,LDN,Bombardier,Standard LRT,LRT,Europe,ldn-4,Standard LRT,3rd Rail LRT: Modern DC,TRUE,6.7,17500,25000000,6000000,tr-under,Modern DC,Standard,Metro Standard,200,20,This is a standard LRT system (2.65m wide) which uses 750V DC third rails for some bizzare reason.,standard-lrt-tr-under,"This is a standard LRT system (2.65m wide) which uses 750V DC third rails for some bizzare reason. The B07 is automated light metro rolling stock for London's Docklands Light Railway, built by Bombardier.",175.3
